city,state,country,country_code,latitude,longitude,timezone,population,elevation_m
Pinehurst,NC,USA,US,35.19543,-79.46948,America/New_York,15752,160
Rapid City,MI,USA,US,44.83445,-85.28256,America/Detroit,1352,192
Cleveland,OH,USA,US,41.4995,-81.69541,America/New_York,388072,199
Bloomington,IN,USA,US,39.16533,-86.52639,America/Indiana/Indianapolis,84067,235
Irvine,CA,USA,US,33.66946,-117.82311,America/Los_Angeles,256927,17
Moore,OK,USA,US,35.33951,-97.4867,America/Chicago,60451,382
Short Pump,VA,USA,US,37.65042,-77.61249,America/New_York,24729,89
Norwalk,CT,USA,US,41.1176,-73.4079,America/New_York,88485,11
Blayney,New South Wales,Australia,AU,-33.53233,149.25367,Australia/Sydney,3355,194
Greybull,WY,USA,US,44.48912,-108.05621,America/Denver,1879,1156
North Conway,NH,USA,US,44.05368,-71.1284,America/New_York,2349,160
Phoenix,AZ,USA,US,33.44838,-112.07404,America/Phoenix,1608139,331
Lauderhill,FL,USA,US,26.14036,-80.21338,America/New_York,71579,1
Sutherlin,OR,USA,US,43.39012,-123.31258,America/Los_Angeles,7912,157
Gurgaon,Haryana,India,IN,28.4601,77.02635,Asia/Kolkata,197340,194
Albuquerque,NM,USA,US,35.08449,-106.65114,America/Denver,559121,1511
Redlands,CA,USA,US,34.05557,-117.18254,America/Los_Angeles,71035,414
Carolina Beach,NC,USA,US,34.03517,-77.8936,America/New_York,6137,2
yukon,OK,USA,US,35.50672,-97.76254,America/Chicago,25892,393
Los Angeles,CA,USA,US,34.05223,-118.24368,America/Los_Angeles,3898747,89
Reno,NV,USA,US,39.52963,-119.8138,America/Los_Angeles,241445,1373
Parma,OH,USA,US,41.40477,-81.72291,America/New_York,79937,264
Merritt island,FL,USA,US,28.53917,-80.672,America/New_York,34743,1
Normandy Park,WA,USA,US,47.43621,-122.34068,America/Los_Angeles,6668,89
Paris,IL,USA,US,39.61115,-87.69614,America/Chicago,8432,220
Wahiawa,HI,USA,US,21.50279,-158.02464,Pacific/Honolulu,17821,287
Oro Valley,AZ,USA,US,32.39091,-110.96649,America/Phoenix,45303,798
Jemison,AL,USA,US,32.95985,-86.74665,America/Chicago,2619,219
Baytown,TX,USA,US,29.7355,-94.97743,America/Chicago,76335,8
Mimbres,NM,USA,US,32.85619,-107.97976,America/Denver,667,1820
Jacksonville,FL,USA,US,30.33218,-81.65565,America/New_York,954614,5
Largo,FL,USA,US,27.90979,-82.78842,America/New_York,81000,10
Huntsville,AL,USA,US,34.7304,-86.58594,America/Chicago,215006,193
San Diego,CA,USA,US,32.71571,-117.16472,America/Los_Angeles,1394928,20
Gaston,SC,USA,US,33.8171,-81.10093,America/New_York,1658,152
Santa Cruz,CA,USA,US,36.97412,-122.0308,America/Los_Angeles,64220,11
Santa Monica,CA,USA,US,34.01949,-118.49138,America/Los_Angeles,93220,32
Tacoma,WA,USA,US,47.25288,-122.44429,America/Los_Angeles,207948,74
Orlando,FL,USA,US,28.53834,-81.37924,America/New_York,307573,30
Cuautla,Morelos,Mexico,MX,18.8106,-98.93525,America/Mexico_City,157336,194
Port Angeles,WA,USA,US,48.11815,-123.43074,America/Los_Angeles,19448,22
Las Vegas,NV,USA,US,36.17497,-115.13722,America/Los_Angeles,623747,610
Cincinnati,OH,USA,US,39.12711,-84.51439,America/New_York,309317,191
New York City,NY,USA,US,40.71427,-74.00597,America/New_York,8804190,10
Surprise,AZ,USA,US,33.63059,-112.33322,America/Phoenix,143148,358
Bismarck,ND,USA,US,46.80833,-100.78374,America/Chicago,71167,514
Redmond,OR,USA,US,44.27262,-121.17392,America/Los_Angeles,28654,916
Katy,TX,USA,US,29.78579,-95.8244,America/Chicago,16158,42
fenton,MO,USA,US,38.51311,-90.43595,America/Chicago,4052,132
Redondo Beach,CA,USA,US,33.84918,-118.38841,America/Los_Angeles,68166,19
Dickson City,PA,USA,US,41.47147,-75.60769,America/New_York,5877,234
Ocala,FL,USA,US,29.1872,-82.14009,America/New_York,58218,21
Port Saint Lucie,FL,USA,US,27.29393,-80.35033,America/New_York,164603,5
Vancouver,WA,USA,US,45.63873,-122.66149,America/Los_Angeles,172860,52
Tinley park,IL,USA,US,41.57337,-87.78449,America/Chicago,57143,213
Frisco,CO,USA,US,39.57443,-106.09752,America/Denver,3035,2766
Cranston,RI,USA,US,41.77982,-71.43728,America/New_York,81073,19
Norton,MA,USA,US,41.96677,-71.18699,America/New_York,19808,32
Spokane,WA,USA,US,47.65966,-117.42908,America/Los_Angeles,213272,571
Shoreline,WA,USA,US,47.75565,-122.34152,America/Los_Angeles,55439,147
Kansas City,MO,USA,US,39.09973,-94.57857,America/Chicago,475378,274
Oshawa,ON,Canada,CA,43.90012,-78.84957,America/Toronto,166000,194
Sturgis,SD,USA,US,44.40971,-103.50908,America/Denver,6688,1043
Osceola,IA,USA,US,41.03389,-93.7655,America/Chicago,4972,348
Oak Island,NC,USA,US,33.91656,-78.16111,America/New_York,7507,3
Brighton,MI,USA,US,42.52948,-83.78022,America/Detroit,7609,282
Lake Stevens,WA,USA,US,48.0151,-122.06374,America/Los_Angeles,30886,66
North Plains,OR,USA,US,45.59706,-122.99344,America/Los_Angeles,2100,63
HAMPDEN,MA,USA,US,42.06398,-72.41342,America/New_York,5261,95
Midland,TX,USA,US,31.99735,-102.07791,America/Chicago,132950,848
Presidio,TX,USA,US,29.56074,-104.37215,America/Chicago,3904,787
Nashville,TN,USA,US,36.16589,-86.78444,America/Chicago,689447,170
Doylestown,PA,USA,US,40.31011,-75.12989,America/New_York,8301,129
Charleston,SC,USA,US,32.77657,-79.93092,America/New_York,132609,6
Brookings,OR,USA,US,42.05261,-124.28398,America/Los_Angeles,6476,48
Ormond Beach,FL,USA,US,29.28581,-81.05589,America/New_York,40970,2
Gardena,CA,USA,US,33.88835,-118.30896,America/Los_Angeles,60447,15
Brownwood,TX,USA,US,31.70932,-98.99116,America/Chicago,19031,416
Portland,OR,USA,US,45.52345,-122.67621,America/Los_Angeles,652503,12
Wyoming,DE,USA,US,39.11817,-75.55881,America/New_York,1465,13
Scappoose,OR,USA,US,45.75428,-122.8776,America/Los_Angeles,6954,19
Oxnard,CA,USA,US,34.1975,-119.17705,America/Los_Angeles,207254,16
Vero Beach,FL,USA,US,27.63864,-80.39727,America/New_York,16358,4
Seattle,WA,USA,US,47.60621,-122.33207,America/Los_Angeles,737015,56
Tyler,TX,USA,US,32.35126,-95.30106,America/Chicago,103700,164
Beaufort,SC,USA,US,32.43158,-80.66983,America/New_York,13306,2
Federal Way,WA,USA,US,47.32232,-122.31262,America/Los_Angeles,95171,141
Schererville,IN,USA,US,41.47892,-87.45476,America/Chicago,28791,204
Mount Laurel,NJ,USA,US,39.934,-74.891,America/New_York,41864,26
Coldwater,MI,USA,US,41.94033,-85.00052,America/Detroit,10844,294
Virginia Beach,VA,USA,US,36.85293,-75.97799,America/New_York,452745,3
Wayne,NJ,USA,US,40.92538,-74.27654,America/New_York,57915,53
Marblehead,MA,USA,US,42.5001,-70.85783,America/New_York,19808,18
Firestone,CO,USA,US,40.11248,-104.93664,America/Denver,11999,1515
Augusta,GA,USA,US,33.47097,-81.97484,America/New_York,43459,43
Colorado Springs,CO,USA,US,38.83388,-104.82136,America/Denver,456568,1832
East Sandwich,MA,USA,US,41.74177,-70.45169,America/New_York,3940,9
North Platte,NE,USA,US,41.12389,-100.76542,America/Chicago,24194,854
Westfield,NY,USA,US,42.32228,-79.5781,America/New_York,3090,227
Dix Hills,NY,USA,US,40.80482,-73.33623,America/New_York,26892,62
Alexandria,VA,USA,US,38.80484,-77.04692,America/New_York,159467,12
Calcutta,OH,USA,US,40.6734,-80.57646,America/New_York,3742,340
Kirkwood,MO,USA,US,38.58339,-90.40678,America/Chicago,27750,201
Storm Lake,IA,USA,US,42.64109,-95.20972,America/Chicago,10910,433
Cottonwood Heights,UT,USA,US,40.61967,-111.81021,America/Denver,34343,1470
Windsor,MO,USA,US,38.53224,-93.52215,America/Chicago,2808,278
Haslett,MI,USA,US,42.74698,-84.40108,America/Detroit,19220,264
Badger,IA,USA,US,42.61441,-94.14607,America/Chicago,550,351
Cameron Park,CA,USA,US,38.66879,-120.98716,America/Los_Angeles,18228,367
Plymouth,MN,USA,US,45.01052,-93.45551,America/Chicago,75907,296
Orange,MA,USA,US,42.59036,-72.30981,America/New_York,4018,156
Union,WA,USA,US,47.35509,-123.10099,America/Los_Angeles,631,46
Sonoita,AZ,USA,US,31.6795,-110.65674,America/Phoenix,818,1489
Daytona Beach,FL,USA,US,29.21081,-81.02283,America/New_York,64736,4
Olathe,KS,USA,US,38.8814,-94.81913,America/Chicago,134305,315
Hornell,NY,USA,US,42.32785,-77.6611,America/New_York,8336,354
Mississauga,ON,Canada,CA,43.5789,-79.6583,America/Toronto,668549,194
Haverhill,MA,USA,US,42.7762,-71.07728,America/New_York,62765,16
Mortain,Normandy,France,FR,48.64782,-0.94055,Europe/Paris,2470,194
Chandler,AZ,USA,US,33.30616,-111.84125,America/Phoenix,260828,370
Winnemucca,NV,USA,US,40.97296,-117.73568,America/Los_Angeles,7887,1309
Charlotte,NC,USA,US,35.22709,-80.84313,America/New_York,874579,229
London,ENG,United Kingdom,GB,51.50853,-0.12574,Europe/London,8961989,194
Arvada,CO,USA,US,39.80276,-105.08748,America/Denver,115368,1629
Greenup,KY,USA,US,38.57313,-82.83017,America/New_York,1157,160
Bohmte,Lower Saxony,Germany,DE,52.36667,8.31667,Europe/Berlin,13153,194
Indore,Madhya Pradesh,India,IN,22.71792,75.8333,Asia/Kolkata,1837041,194
Edgar,WI,USA,US,44.92719,-89.96346,America/Chicago,1462,393
St. Petersburg,FL,USA,US,27.77086,-82.67927,America/New_York,257083,13
Saint Charles,MO,USA,US,38.78394,-90.48123,America/Chicago,65794,147
Everett,WA,USA,US,47.97898,-122.20208,America/Los_Angeles,108010,25
Georgetown,TX,USA,US,30.63269,-97.67723,America/Chicago,63716,230
Atco,NJ,USA,US,39.76984,-74.88739,America/New_York,12350,45
Venice,FL,USA,US,27.09978,-82.45426,America/New_York,22211,3
Mishawaka,IN,USA,US,41.66199,-86.15862,America/Indiana/Indianapolis,48261,220
Salt Lake City,UT,USA,US,40.76078,-111.89105,America/Denver,192672,1299
Boulder City,NV,USA,US,35.97859,-114.83249,America/Los_Angeles,15551,765
Bellevue,NE,USA,US,41.13667,-95.89084,America/Chicago,55510,315
Holland,OH,USA,US,41.62172,-83.7116,America/New_York,1699,195
Kalispell,MT,USA,US,48.19579,-114.31291,America/Denver,22052,901
Laramie,WY,USA,US,41.31137,-105.5911,America/Denver,32158,2184
Commercial Point,OH,USA,US,39.7684,-83.05713,America/New_York,1611,238
East Hartford,CT,USA,US,41.78232,-72.61203,America/New_York,51252,16
Wetaskiwin,AB,Canada,CA,52.96683,-113.36869,America/Edmonton,11302,194
Moose Jaw,SK,Canada,CA,50.40005,-105.53445,America/Regina,33890,194
Sunriver,OR,USA,US,43.88401,-121.43864,America/Los_Angeles,1393,1271
Barrington,NH,USA,US,43.22286,-71.04701,America/New_York,8417,116
Rome,NY,USA,US,43.21285,-75.45573,America/New_York,32573,139
Appomattox,VA,USA,US,37.35709,-78.82529,America/New_York,1759,259
Palmer,MA,USA,US,42.15843,-72.32869,America/New_York,18261,105
Albany,OR,USA,US,44.63651,-123.10593,America/Los_Angeles,52175,65
Cheyenne,WY,USA,US,41.13998,-104.82025,America/Denver,63335,1856
Vadnais Heights,MN,USA,US,45.05747,-93.07383,America/Chicago,13266,276
Lytham St Annes,ENG,United Kingdom,GB,53.7426,-2.997,Europe/London,41327,194
Ranchos de Taos,NM,USA,US,36.35864,-105.60946,America/Denver,2518,2105
Eureka,MT,USA,US,48.87996,-115.0535,America/Denver,1074,787
Orange,TX,USA,US,30.09299,-93.73655,America/Chicago,19347,2
Woodland Hills,CA,USA,US,34.16834,-118.60592,America/Los_Angeles,70000,273
Magnolia,TX,USA,US,30.20938,-95.75078,America/Chicago,1828,82
Lafayette,LA,USA,US,30.22409,-92.01984,America/Chicago,127657,11
Bellmore,NY,USA,US,40.66871,-73.52707,America/New_York,16218,5
Normangee,TX,USA,US,31.02963,-96.11468,America/Chicago,693,115
Mays Landing,NJ,USA,US,39.45234,-74.72766,America/New_York,2135,5
Myrtle Beach,SC,USA,US,33.68906,-78.88669,America/New_York,31035,8
Gilbert,AZ,USA,US,33.35283,-111.78903,America/Phoenix,247542,377
Quincy,MA,USA,US,42.25288,-71.00227,America/New_York,93618,10
Daytona beach,FL,USA,US,29.21081,-81.02283,America/New_York,64736,4
Pittsburgh,PA,USA,US,40.44062,-79.99589,America/New_York,304391,233
Milwaukee,WI,USA,US,43.0389,-87.90647,America/Chicago,600155,188
Coral Springs,FL,USA,US,26.27119,-80.2706,America/New_York,129485,3
Apex,NC,USA,US,35.73265,-78.85029,America/New_York,45585,152
Hayfork,CA,USA,US,40.55431,-123.18308,America/Los_Angeles,2368,704
Las Cruces,NM,USA,US,32.31232,-106.77834,America/Denver,101643,1191
Anchorage,AK,USA,US,61.21806,-149.90028,America/Anchorage,291247,31
Roswell,GA,USA,US,34.02316,-84.36159,America/New_York,94501,328
Ewing,NJ,USA,US,40.26983,-74.79988,America/New_York,36559,45
Englewood,CO,USA,US,39.64777,-104.98776,America/Denver,33082,1637
Leland,NC,USA,US,34.25628,-78.04471,America/New_York,17924,7
Perkasie,PA,USA,US,40.37205,-75.29268,America/New_York,8471,110
Springfield,IL,USA,US,39.80172,-89.64371,America/Chicago,116565,182
Angus,ON,Canada,CA,44.31681,-79.88295,America/Toronto,10269,194
Sturbridge,MA,USA,US,42.10843,-72.07869,America/New_York,2253,179
Somerset,NJ,USA,US,40.4976,-74.48849,America/New_York,22083,28
Hemet,CA,USA,US,33.74761,-116.97307,America/Los_Angeles,83861,486
Spokane Valley,WA,USA,US,47.67323,-117.23937,America/Los_Angeles,94919,615
Hickory,NC,USA,US,35.73319,-81.3412,America/New_York,40374,350
Pueblo West,CO,USA,US,38.35,-104.72275,America/Denver,29637,1544
San Antonio,TX,USA,US,29.42412,-98.49363,America/Chicago,1434625,198
Lake Elsinore,CA,USA,US,33.66808,-117.32726,America/Los_Angeles,61981,395
Fargo,ND,USA,US,46.87719,-96.7898,America/Chicago,118523,276
Tynset,Innlandet,Norway,NO,62.27594,10.78241,Europe/Oslo,2779,194
Minnetonka,MN,USA,US,44.9133,-93.50329,America/Chicago,51669,275
Huntington,WV,USA,US,38.41925,-82.44515,America/New_York,48638,173
Saint Cloud,MN,USA,US,45.5608,-94.16249,America/Chicago,65842,314
Monett,MO,USA,US,36.92895,-93.92771,America/Chicago,8988,413
Allison Park,PA,USA,US,40.55951,-79.95867,America/New_York,21552,268
Charles Town,WV,USA,US,39.28899,-77.85972,America/New_York,5899,156
Bath,PA,USA,US,40.72565,-75.39407,America/New_York,2667,129
Raleigh,NC,USA,US,35.7721,-78.63861,America/New_York,451066,96
Cecilia,KY,USA,US,37.6659,-85.95663,America/New_York,572,215
Hendersonville,TN,USA,US,36.30477,-86.62,America/Chicago,56018,147
Greenville,NC,USA,US,35.61266,-77.36635,America/New_York,90597,18
Jagadhri,Haryana,India,IN,30.16719,77.30367,Asia/Kolkata,101300,194
Mystic Island,NJ,USA,US,39.54428,-74.38237,America/New_York,8493,1
